order_id,order_date,customer_id,product,category,region,quantity,unit_price
100001,2023/04/25,C0026,Sofa,Furniture,East,1,25000
100002,invalid,C0105,Mobile,Electronics,North,-1,20000
100003,2023/09/16,C0096,Laptop,Electronics,South,1,55000
100004,invalid,C0575,Desk,Furniture,South,1,8000
100005,2023/12/24,C0285,Mobile,Electronics,North,2,20000
100006,2023/06/22,C0285,Chair,Furniture,South,1,3500
100007,26-06-23,C0390,Laptop,Electronics,North,1,55000
100008,invalid,C0045,Desk,Furniture,West,1,8000
100009,invalid,C0566,Chair,Furniture,East,1,3500
100010,2023/05/29,C0072,Desk,Furniture,North,1,8000
100011,,C0239,Laptop,Electronics,North,0,55000
100012,01-07-23,C0374,Chair,Furniture,South,-1,3500
100013,invalid,C0274,Mobile,Electronics,North,-1,20000
100014,,C0251,Mobile,Electronics,South,3,20000
100015,29-01-23,C0571,Tablet,Electronics,South,-1,30000
100016,,C0033,Mobile,Electronics,East,0,20000
100017,2023/12/02,C0581,Laptop,Electronics,East,1,55000
100018,13-03-23,C0470,Chair,Furniture,South,2,3500
100019,invalid,C0575,Mobile,Electronics,East,-1,20000
100020,2023/09/18,C0371,Desk,Furniture,South,2,8000
100021,2023/11/18,C0049,Chair,Furniture,North,1,3500
100022,,C0433,Mobile,Electronics,North,0,20000
100023,invalid,C0542,Desk,Furniture,East,2,8000
100024,27-02-23,C0118,Sofa,Furniture,East,-1,25000
100025,2023-05-15,C0162,Tablet,Electronics,West,2,30000
100026,24-11-23,C0183,Desk,Furniture,North,0,8000
100027,24-03-23,C0204,Desk,Furniture,South,3,8000
100028,invalid,C0544,Desk,Furniture,North,0,8000
100029,03-05-23,C0115,Chair,Furniture,East,1,3500
100030,2023-09-06,C0581,Laptop,Electronics,North,1,55000
100031,2023/12/04,C0546,Headphones,Electronics,South,1,3000
100032,invalid,C0170,Chair,Furniture,East,3,3500
100033,24-07-23,C0553,Chair,Furniture,South,1,3500
100034,invalid,C0383,Sofa,Furniture,West,-1,25000
100035,11-01-23,C0231,Laptop,Electronics,North,1,55000
100036,2023-02-06,C0236,Desk,Furniture,South,3,8000
100037,2023-01-17,C0061,Sofa,Furniture,South,-1,25000
100038,09-12-23,C0073,Headphones,Electronics,South,1,3000
100039,invalid,C0553,Chair,Furniture,South,1,3500
100040,2023/02/18,C0485,Chair,Furniture,West,1,3500
100041,,C0442,Laptop,Electronics,East,-1,55000
100042,2023-07-26,C0056,Chair,Furniture,North,0,3500
100043,2023/04/08,C0112,Sofa,Furniture,South,1,25000
